id,message,story,status,time,type,link,name,shares
1645368438926792_826297487500562,每一次與每一個人的相遇都有相遇的理由,,shared_story,2016-06-21T12:16:50+0000,video,https://www.youtube.com/attribution_link?a=B1Yxl_v617E&u=%2Fwatch%3Fv%3DPQ9PaRuwxek%26feature%3Dshare,Mayday五月天 [ 如果我們不曾相遇What If We Had Never Met ] Official Lyric Video,0
1645368438926792_825350504261927,"看完(就是要你好好的)之後,在聽這首歌感觸特別大",,shared_story,2016-06-19T14:37:31+0000,video,https://www.youtube.com/attribution_link?a=1uf3LvBP4oA&u=%2Fwatch%3Fv%3DG4_hhPM-6RU%26feature%3Dshare%26list%3DRDT-XFIPKmhww%26index%3D26,黃小琥-沒那麼簡單,0
1645368438926792_824329224364055,,,shared_story,2016-06-17T16:02:33+0000,video,https://www.youtube.com/attribution_link?a=D1gN5PcFvqM&u=%2Fwatch%3Fv%3DAoUoYWDIA9k%26feature%3Dshare,被風吹?的夏天 (SummerBreeze) - Jason Chen x Sharon Kwan Cover,0
1645368438926792_824328241030820,,,shared_story,2016-06-17T15:59:37+0000,video,https://www.youtube.com/attribution_link?a=-PlWMHTOVZc&u=%2Fwatch%3Fv%3DE_52-76BgVY%26feature%3Dshare,珊瑚海 (Coral Sea) - Jay Chou ft. Lara (Jason Chen x Sharon Kwan Cover),0
1645368438926792_822534481210196,,,mobile_status_update,2016-06-14T01:21:14+0000,video,https://www.facebook.com/ccii.com.tw/videos/1442214369128697/,采昌國際多媒體,0
1645368438926792_821731954623782,深夜推劇~很久沒看到漢典那麼man了滾石愛情故事第16集(味道)#期末小確幸,,added_photos,2016-06-12T15:32:18+0000,photo,https://www.facebook.com/photo.php?fbid=821728594624118&set=a.161326523997665&type=3,,0
1645368438926792_819990461464598,,,shared_story,2016-06-09T11:53:44+0000,link,https://www.dcard.tw/f/all/p/224161094?ref=ios,謝謝你喜歡我五年了 這是我答應你的承諾#圖#,0
1645368438926792_813278868802424,每當有這種時候總會想起妳，二姊????@Iris Hung很感謝妳在我迷惘的時候給我建議進來妳的母校才讓我從沒自信開始找回了自信的自己從覺得自己很沒用到發現自己還是有點特長??而在這些過程中妳都扮演了非常重要的角色!這? 雖然這只是一張紙，但對我而言它的重量卻遠遠重於一張紙它是我給自己的往成功的路上下的一小筆紀錄並從這個新的起點往下一個里程碑前進 ~#感謝文#謝謝每個幫助過我的人,,added_photos,2016-05-26T13:25:21+0000,photo,https://www.facebook.com/photo.php?fbid=813275872136057&set=a.161326523997665&type=3,,0
1645368438926792_812134292250215,,,mobile_status_update,2016-05-24T01:39:10+0000,video,https://www.facebook.com/ETtodayPETS/videos/1052872191467129/,ETtoday寵物雲,0
1645368438926792_811929195604058,,,mobile_status_update,2016-05-23T15:33:55+0000,video,https://www.youtube.com/watch?v=1w2_65yT7K4&feature=youtu.be,靜宜大學畢業生委員會,0
1645368438926792_811189605678017,,,added_photos,2016-05-22T05:56:43+0000,photo,https://www.facebook.com/photo.php?fbid=811189605678017&set=a.139174552879529&type=3,李嘉信,0
1645368438926792_809708819159429,誒！！ 是maker的快閃誒這裡好像是靜安的樣子????,,mobile_status_update,2016-05-19T04:32:41+0000,photo,https://www.facebook.com/PUMELON/photos/a.984980464891604/1075984165791233/?type=3,PU MELON 靜宜大學創客教育學習組織,0
1645368438926792_809613099169001,,,mobile_status_update,2016-05-18T23:38:07+0000,status,,,0
1645368438926792_807439142719730,,,mobile_status_update,2016-05-14T11:19:31+0000,link,http://www.haters.com.tw/news/11509.html,籃球影片分享,0
1645368438926792_802258406571137,,,mobile_status_update,2016-05-04T06:34:06+0000,video,https://www.facebook.com/ETtodayPETS/videos/1041280745959607/,ETtoday寵物雲,0
